TimeSinceStart_s,Temperature,Humidity,Latitude,Longitude,Altitude,TimeUTC,PM1_0,PM2_5,PM4_0,PM10_0,ref_Temperature,ref_Humidity,ref_PM1_0,ref_PM2_5,ref_PM4_0,ref_PM10_0,diff_Temperature,diff_Humidity,diff_PM1_0,diff_PM2_5,diff_PM4_0,diff_PM10_0
560,42.28,21.99,47.392174,8.532134,424.6,9001900.0,5.15,5.44,5.44,5.44,16.29,57.81,-9999.0,9.72,-9999.0,13.23,25.99,-35.82,-9999.0,-4.28,-9999.0,-7.79
565,41.74,22.49,47.392193,8.532151,418.3,9002400.0,4.9,5.18,5.18,5.18,16.29,57.81,-9999.0,9.72,-9999.0,13.23,25.45,-35.32,-9999.0,-4.54,-9999.0,-8.05
570,41.58,23.18,47.3922,8.532133,416.0,9002900.0,4.62,4.89,4.89,4.89,16.29,57.81,-9999.0,9.72,-9999.0,13.23,25.29,-34.63,-9999.0,-4.83,-9999.0,-8.34
575,41.62,23.46,47.392216,8.532125,416.5,9003400.0,4.39,4.65,4.65,4.65,16.29,57.81,-9999.0,9.72,-9999.0,13.23,25.33,-34.35,-9999.0,-5.07,-9999.0,-8.58
580,41.59,23.94,47.392239,8.532084,418.4,9003900.0,4.27,4.52,4.52,4.52,16.29,57.81,-9999.0,9.72,-9999.0,13.23,25.3,-33.87,-9999.0,-5.2,-9999.0,-8.71
585,41.28,27.33,47.392235,8.53206,418.1,9004400.0,3.97,4.19,4.19,4.19,16.29,57.81,-9999.0,9.72,-9999.0,13.23,24.99,-30.48,-9999.0,-5.53,-9999.0,-9.04
590,40.89,27.72,47.39222,8.532047,415.5,9004900.0,3.76,3.98,3.98,3.98,16.29,57.81,-9999.0,9.72,-9999.0,13.23,24.6,-30.09,-9999.0,-5.74,-9999.0,-9.25
595,40.56,28.62,47.392262,8.532037,415.3,9005400.0,3.58,3.79,3.79,3.79,16.29,57.81,-9999.0,9.72,-9999.0,13.23,24.27,-29.19,-9999.0,-5.93,-9999.0,-9.44
600,40.28,27.28,47.392242,8.532052,422.8,9005900.0,3.61,3.81,3.81,3.81,16.29,57.81,-9999.0,9.72,-9999.0,13.23,23.99,-30.53,-9999.0,-5.91,-9999.0,-9.42
605,40.03,24.88,47.392239,8.532054,422.7,9010400.0,3.61,3.82,3.82,3.82,16.29,57.81,-9999.0,9.72,-9999.0,13.23,23.74,-32.93,-9999.0,-5.9,-9999.0,-9.41
610,39.77,23.55,47.39225,8.532043,428.3,9010900.0,3.69,3.91,3.91,3.91,16.29,57.81,-9999.0,9.72,-9999.0,13.23,23.48,-34.26,-9999.0,-5.81,-9999.0,-9.32
615,39.36,23.46,47.392147,8.532001,431.5,9011400.0,3.66,3.87,3.87,3.87,16.29,57.81,-9999.0,9.72,-9999.0,13.23,23.07,-34.35,-9999.0,-5.85,-9999.0,-9.36
620,38.69,23.59,47.392139,8.532014,434.8,9011900.0,3.59,3.8,3.8,3.8,16.29,57.81,-9999.0,9.72,-9999.0,13.23,22.4,-34.22,-9999.0,-5.92,-9999.0,-9.43
625,38.11,24.01,47.392147,8.53201,441.4,9012400.0,3.52,3.72,3.72,3.72,16.29,57.81,-9999.0,9.72,-9999.0,13.23,21.82,-33.8,-9999.0,-6.0,-9999.0,-9.51
630,37.45,24.43,47.392124,8.532043,444.5,9012900.0,3.46,3.66,3.66,3.66,16.29,57.81,-9999.0,9.72,-9999.0,13.23,21.16,-33.38,-9999.0,-6.06,-9999.0,-9.57
635,36.85,24.74,47.392124,8.532073,447.0,9013400.0,3.45,3.65,3.65,3.65,16.29,57.81,-9999.0,9.72,-9999.0,13.23,20.56,-33.07,-9999.0,-6.07,-9999.0,-9.58
640,36.29,25.74,47.392113,8.532095,450.0,9013900.0,3.52,3.72,3.72,3.72,16.29,57.81,-9999.0,9.72,-9999.0,13.23,20.0,-32.07,-9999.0,-6.0,-9999.0,-9.51
645,35.73,26.17,47.392117,8.532101,446.6,9014400.0,3.55,3.75,3.75,3.75,16.29,57.81,-9999.0,9.72,-9999.0,13.23,19.44,-31.64,-9999.0,-5.97,-9999.0,-9.48
650,35.29,26.28,47.392109,8.532111,443.5,9014900.0,3.78,4.0,4.0,4.0,16.29,57.81,-9999.0,9.72,-9999.0,13.23,19.0,-31.53,-9999.0,-5.72,-9999.0,-9.23
655,34.82,26.98,47.392086,8.532121,442.4,9015400.0,3.95,4.18,4.18,4.18,16.29,57.81,-9999.0,9.72,-9999.0,13.23,18.53,-30.83,-9999.0,-5.54,-9999.0,-9.05
660,34.7,28.07,47.392036,8.532091,440.3,9015900.0,4.16,4.4,4.4,4.4,16.29,57.81,-9999.0,9.72,-9999.0,13.23,18.41,-29.74,-9999.0,-5.32,-9999.0,-8.83
665,34.5,28.18,47.391998,8.532059,443.2,9020400.0,4.07,4.31,4.31,4.31,16.29,57.81,-9999.0,9.72,-9999.0,13.23,18.21,-29.63,-9999.0,-5.41,-9999.0,-8.92
