TimeSinceStart_s;Temperature;Humidity;Latitude;Longitude;Altitude;TimeUTC;PM1_0;PM2_5;PM4_0;PM10_0
740;28.66;34.31;47.391987;8.530438;443.80;9031800.00000;3.72;3.94;3.94;3.94
745;28.06;35.15;47.391754;8.530706;445.30;9032300.00000;3.82;4.04;4.04;4.04
750;27.44;36.18;47.391514;8.530997;446.90;9032800.00000;4.04;4.27;4.27;4.27
755;27.08;37.30;47.391254;8.531279;450.00;9033300.00000;4.05;4.28;4.28;4.28
760;26.61;37.73;47.390995;8.531562;450.70;9033800.00000;3.93;4.15;4.15;4.15
765;26.38;38.82;47.390743;8.531862;452.00;9034300.00000;3.85;4.07;4.07;4.07
770;26.11;39.55;47.390491;8.532163;452.90;9034800.00000;3.89;4.12;4.12;4.12
775;25.89;39.77;47.390251;8.532454;456.00;9035300.00000;3.95;4.18;4.18;4.18
780;25.85;40.26;47.390003;8.532769;457.80;9035800.00000;3.92;4.15;4.15;4.15
785;25.74;40.88;47.389744;8.533077;460.00;9040300.00000;3.69;3.90;3.90;3.90
790;25.59;40.98;47.389484;8.533405;461.90;9040800.00000;3.66;3.87;3.87;3.87
795;25.40;41.30;47.389236;8.533749;465.00;9041300.00000;3.90;4.13;4.13;4.13
800;25.31;41.20;47.388947;8.533997;467.20;9041800.00000;4.08;4.31;4.31;4.31
805;25.06;41.42;47.388626;8.534116;468.00;9042300.00000;4.17;4.41;4.41;4.41
810;24.91;41.63;47.388447;8.534176;465.50;9042800.00000;4.21;4.45;4.45;4.45
815;24.76;42.03;47.388126;8.534273;465.80;9043300.00000;4.16;4.40;4.40;4.40
820;24.59;42.35;47.387760;8.534406;463.30;9043800.00000;4.08;4.31;4.31;4.31
825;24.56;42.75;47.387398;8.534575;457.30;9044300.00000;4.27;4.52;4.52;4.52
830;24.45;42.75;47.387157;8.534739;446.00;9044800.00000;4.43;4.69;4.69;4.69
835;24.85;42.83;47.387085;8.534846;438.20;9045300.00000;4.54;4.80;4.80;4.80
840;25.33;42.49;47.387077;8.535003;434.50;9045800.00000;4.74;5.02;5.02;5.02
845;25.66;42.05;47.387047;8.535206;433.30;9050300.00000;4.92;5.21;5.21;5.21
850;25.81;41.66;47.387169;8.535360;434.30;9050800.00000;4.94;5.23;5.23;5.23
855;25.66;41.38;47.387310;8.535547;433.50;9051300.00000;4.83;5.11;5.11;5.11
860;25.41;41.20;47.387432;8.535745;432.80;9051800.00000;4.77;5.05;5.05;5.05
865;25.26;41.42;47.387554;8.535945;428.70;9052300.00000;4.68;4.95;4.95;4.95
870;25.00;41.82;47.387680;8.536121;425.80;9052800.00000;4.45;4.70;4.70;4.70
875;24.74;42.13;47.387810;8.536281;423.50;9053300.00000;4.19;4.44;4.44;4.44
880;24.84;42.53;47.387932;8.536373;424.40;9053800.00000;4.16;4.40;4.40;4.40
885;24.82;43.13;47.388103;8.536459;427.30;9054300.00000;4.08;4.31;4.31;4.31
890;24.90;43.13;47.388306;8.536515;425.20;9054800.00000;4.29;4.54;4.54;4.54
895;24.82;43.23;47.388458;8.536497;427.60;9055300.00000;4.68;4.94;4.94;4.94
900;24.84;43.32;47.388615;8.536447;429.90;9055800.00000;4.91;5.19;5.19;5.19
905;24.75;43.32;47.388733;8.536412;436.60;9060300.00000;5.00;5.29;5.29;5.29
910;24.65;43.74;47.388893;8.536376;439.20;9060800.00000;5.32;5.62;5.62;5.62
915;24.47;43.84;47.389042;8.536332;443.10;9061300.00000;5.58;5.90;5.90;5.90
920;24.40;43.96;47.389202;8.536306;447.60;9061800.00000;5.57;5.89;5.89;5.89
925;24.26;44.08;47.389366;8.536292;446.50;9062300.00000;5.45;5.76;5.76;5.76
930;24.15;44.38;47.389568;8.536333;444.40;9062800.00000;5.20;5.50;5.50;5.50
935;24.18;44.68;47.389744;8.536356;442.90;9063300.00000;4.85;5.13;5.13;5.13
940;24.28;44.56;47.389896;8.536358;442.20;9063800.00000;4.69;4.96;4.96;4.96
945;24.38;44.85;47.390018;8.536259;446.60;9064300.00000;4.63;4.89;4.89;4.89
950;24.25;44.76;47.390152;8.536288;450.10;9064800.00000;4.61;4.87;4.87;4.87
955;24.25;44.56;47.390347;8.536375;449.00;9065300.00000;4.47;4.72;4.72;4.72
960;24.58;44.74;47.390537;8.536392;447.20;9065800.00000;4.61;4.87;4.87;4.87
965;25.15;44.99;47.390709;8.536362;448.30;9070300.00000;4.68;4.95;4.95;4.95
970;25.67;44.75;47.390823;8.536338;451.80;9070800.00000;4.80;5.07;5.07;5.07
975;26.16;44.09;47.390957;8.536319;454.50;9071300.00000;4.82;5.10;5.10;5.10
980;26.63;42.38;47.391159;8.536266;454.90;9071800.00000;5.41;5.72;5.72;5.72
985;26.95;41.06;47.391384;8.536109;454.40;9072300.00000;5.57;5.89;5.89;5.89
990;27.10;39.87;47.391590;8.535873;452.80;9072800.00000;5.50;5.81;5.81;5.81
995;27.12;39.48;47.391808;8.535606;453.10;9073300.00000;5.41;5.72;5.72;5.72
